SM-1-38D-A	SM-1-38D-C	SM-1-38D-B	SM-3-51D-A	SM-3-51D-C	SM-3-51D-B
DTX3L(XLOC_000760)	1.06748984024432	0.666694528724897	0.454593683522668	-1.35169595702077	-0.388090662705038	-0.448991432766083
DGKB(XLOC_001492)	-0.427685829577202	-0.729173774189447	-1.20491674644478	1.04165038125172	0.87549417599492	0.444631792964795
FBLN7;AGRE2;FBN1;AGRE1;HMCN1;AGRE1(XLOC_002978)	-1.36158731343215	-0.563081335063996	-1.06386694331022	1.47622090983767	0.88385522583666	0.628459456132035
FBN1;HMCN2;AGRE1;FBN2;HMCN1;AGRE5;NID2(XLOC_002981)	-0.973401521555653	-0.418224578508898	-0.694506735458575	1.31655474799335	0.543373862209092	0.226204225320691
LIPR2;ELDP1(XLOC_003533)	0.946842914052736	0.650019359840117	0.467255567307344	-1.50240555054427	-0.482098528414191	-0.0796137622417374
RIOK3(XLOC_004438)	-0.269100572284069	-0.453050948674059	-0.186918289768976	0.485357384665079	0.333037473919054	0.0906749521429759
DMBT1;MLRP1;MLRP2(XLOC_005480)	-1.29477801183185	-0.0791028490601962	-0.770916146231576	1.30286839048227	0.753952007326061	0.0879766093152883
DRPR;TIE1;MEG10;MEGF6(XLOC_007708)	-0.837156624780939	-0.462244524805693	-0.144398580643108	0.5661925023777	0.585046699432936	0.292560528419103
VWCE;FINC(XLOC_008427)	1.45741604895642	0.967654041021888	0.965086428483758	-1.59020344584856	-1.10340293825066	-0.696550134362843
WFC6A;WFC6B;BMTI6(XLOC_009090)	0.66237860047262	1.03156830925524	0.416644556730539	-1.31453644495406	-0.237337022116172	-0.558717999388165
C163A;DMBT1(XLOC_009314)	-0.430176235475978	-0.30844060733258	-0.0989926474752814	0.168165076803408	0.48589809471355	0.183546318766878
NEC1(XLOC_012006)	0.350937644485973	0.337520433346588	0.177355783392663	-0.306704713490893	-0.331659751926142	-0.227449395808187
EF2(XLOC_012119)	-0.945259307475892	-0.551054431587971	-0.838588232593391	0.939471483870081	0.517204969843176	0.878225517943994
DYHC;DYHC1(XLOC_012168)	-1.02813557634286	-0.776274495419161	-1.35390414567397	1.44414966543023	0.841144760722873	0.873019791282891
B2CL1(XLOC_012990)	-0.6254880038605	-0.476923328002221	-0.245517169273266	0.947551240364731	0.361750321442734	0.0386269393285206
DUOX2(XLOC_013523)	-0.592045767455988	-0.533245352325581	-1.12671865635402	0.860112782088831	0.842443306447188	0.549453687599569
LEG8(XLOC_016278)	0.553269762868283	0.169360878635493	0.204334314762697	-0.680509943987536	-0.312945152058541	0.0664901397796083
ZHANG(XLOC_016354)	-0.757520177583234	-0.468874918809401	-0.226468444450052	0.529031307942853	0.399997586611661	0.523834646288173
NDUAD(XLOC_016909)	0.548920960290486	0.434097448821673	0.329305122692618	-1.03779124541178	-0.275174546283738	0.000642259890739183
PPIB(XLOC_016937)	0.306557869405292	0.32431481747566	0.556723179388058	-0.217690742074602	-0.307827009126635	-0.662078115067775
ROCO5(XLOC_019999)	-0.826345597539603	-0.499336769506513	0.160918919991722	0.498039741765319	0.61980222254815	0.0469214827409266
EIF3A(XLOC_021035)	-0.350442734851285	-0.168479738818299	-0.235859926091289	0.442522497754684	0.225928212716026	0.0863316892901569
ITSN1(XLOC_023102)	-0.633924016619819	-0.623847580471802	-0.577848574938711	0.954313882750938	0.351949949273122	0.529356340006274
IMA3(XLOC_023953)	0.568443585144722	0.326820591038036	0.495922835523149	-1.13267627058055	-0.214429998258264	-0.044080742867096
BIRC3;DIAP2(XLOC_024719)	-0.600645991383073	-0.878748800857583	-0.460731293207955	0.961748265206283	0.581711954143341	0.396665866098987
DIAP2(XLOC_025104)	-0.876543471776646	-0.447155830439105	-0.784361765706052	1.43064614186167	0.625350921129243	0.0520640049308927
CR3L2;CR3L1(XLOC_026030)	0.347146023879661	0.54367389162098	0.304080491663337	-0.519782497936646	-0.424052254816999	-0.251065654410333
DIAP2(XLOC_028449)	-0.592785131788409	-0.45928522921851	-0.517362168916629	1.09048418402645	0.607006059915951	-0.128057714018851
PEAM3(XLOC_029182)	0.422706526364666	0.511111205632278	0.135263416347554	-0.0974540474412873	-0.0662005805430468	-0.905426520360166
PHB2(XLOC_029864)	0.530179574329084	0.309018229495216	0.0925227325210525	-0.7264510295785	-0.424020781123803	0.218751274356947
WWP1(XLOC_030437)	-0.514390808985693	-0.41616208939718	-0.576777627310089	0.549082087582769	0.55753799832312	0.400710439787075
SAHHB;GIGA3(XLOC_030524)	0.380985715341494	0.176987737057269	0.0804460522824506	-0.403649324658042	-0.248905749286138	0.0141355692629617
LS14A;LS14B;L14AA(XLOC_033341)	-0.434074491142784	-0.166701273272601	-0.342721797963332	0.511704241516837	0.277947380012479	0.153845940849397
SRCAP;DOM(XLOC_033498)	-0.175323036836655	-0.258940992250839	-0.432493728690456	0.36200723897157	0.427313317745448	0.0774372010609277
CHD7(XLOC_034163)	-0.449137242513094	-0.320427170838339	-0.19950259550285	0.50573147458789	0.21646340113192	0.246872133134472
NS1BP;KLH20(XLOC_037079)	-0.354939200190107	-0.21522970707015	-0.70005362943207	0.509587237574552	0.712517969875607	0.0481173292421682
EP300(XLOC_038523)	-0.644052376763136	-0.272889885342719	-0.707192991753643	0.408194685962814	0.492553650574729	0.723386917321955
GSXL2(XLOC_038907)	0.260498612619637	0.371709793145287	0.350934066919345	-0.454794444561584	-0.258055004536569	-0.27029302358612
EIF3F(XLOC_039678)	0.50729455533182	0.770520308344089	-0.0217281794998394	-1.29487395000416	-0.295834648938145	0.334621914766236
DAXX(XLOC_040287)	-0.351787163858831	-0.185503893797541	-0.375596032828744	0.539737608027168	0.0721368896322669	0.301012592825679
DAB2P(XLOC_041726)	-0.330785543201706	-0.512136965910779	-0.138189226229922	0.667038225811323	0.494477725006059	-0.180404215474975
RPC9;SELS;SELSA;SELSB(XLOC_042392)	-0.416585218668047	-0.120663504804966	-0.342454127588294	0.405434696283912	0.124326271598779	0.349941883178612
WASL(XLOC_043292)	-0.605974093782643	-0.459043967542361	0.111065961424493	0.940045776391349	0.144242809457223	-0.130336485948063
SMC1A(XLOC_044552)	-0.572679446499372	-1.06095356294065	-0.0129954722297212	0.328635257349434	0.698021868388086	0.61997135593222
MPEG1(XLOC_044715)	-0.880613728213285	-0.676080525515012	-0.500740775338053	0.735904381481348	0.818600967960369	0.502929679624633
IKKE(XLOC_044960)	-0.882549853382067	-0.564171680171834	-0.505294860520768	0.998768861971503	0.871606988134062	0.081640543969101
DEFCG(XLOC_048051)	0.395242002504649	0.586290040967119	0.090315951793011	0.106917466607412	-0.393157998336527	-0.785607463535659
DEFH2(XLOC_048053)	-0.396450805213018	-0.550841058707833	-0.168150096722277	-0.192726876296024	0.814632779337641	0.493536057601506
PGRP1(XLOC_049362)	1.02281617168983	1.0580441847488	0.548917423337509	-0.909413507721918	-1.53638870944904	-0.183975562605184
PRDX2(XLOC_053121)	0.637002626569645	0.475283034032707	0.544829915486591	-0.959292274900483	-0.66839419896128	-0.0294291022271818
PLMN;PRS30(XLOC_053330)	0.332798796611592	0.395718320023796	1.59786659959791	-0.760908168915381	-1.77094912822624	0.205473580908315
VAMP8(XLOC_053678)	-1.1795731692429	-1.2241601657948	-0.0345285710819789	1.19537740137586	0.370645493784677	0.872239010959144
TERA(XLOC_054617)	0.372376647826007	0.428098612619191	0.34797511963432	-0.66760338596403	-0.112212674684137	-0.368634319431349
LITAF(XLOC_055415)	0.766307184948927	0.359645566192539	0.0886199298861463	-0.685125071597617	-0.429403625510925	-0.100043983919065
SRC(XLOC_057075)	-0.213170794047048	-0.546698881218203	-0.351588342747627	0.358431762575814	0.490551328489529	0.262474926947535
PPIA;CYPH;CYP1(XLOC_057611)	0.256183018027654	0.212074178153676	0.304817485762664	-0.411642416802717	-0.276122702979848	-0.0853095621614255
ADHX;ZNFX1(XLOC_057756)	0.811295207442781	0.427240244584995	0.531077076612231	-0.950530699990583	-0.477457541545498	-0.341624287103922
CARD9(XLOC_057775)	-1.39927454053355	-0.409616988423803	-0.0679203621935223	1.1992549059974	0.361338769968633	0.316218215184842
DUOX1;DUOX2(XLOC_061083)	-0.734219856824526	-0.870248872347969	-0.868656682190679	1.28104885986199	0.582962898906346	0.609113652594839
TOP1;TOP1M(XLOC_061264)	-0.561211310346472	-0.69941602246544	-0.436047543447131	0.76792969663688	0.605684421304051	0.32306075831811
MORC4;MORC3(XLOC_062234)	-1.20890192669487	-0.249223674018075	-0.158175878156992	0.521762315303778	1.10106447430085	-0.00652531073469653
